Title,Price,Availability,Category,Tags,Description
Arcanine,£69.00,14 in stock," Legendary, Pokemon"," arcanine, Intimidate, Legendary","Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power."
Poliwag,£174.00,217 in stock," Pokemon, Tadpole"," Damp, poliwag, Tadpole","Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it."
Poliwhirl,£121.00,139 in stock," Pokemon, Tadpole"," Damp, poliwhirl, Tadpole","The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle."
Poliwrath,£152.00,216 in stock," Pokemon, Tadpole"," Damp, poliwrath, Tadpole","Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort."
Abra,£141.00,116 in stock," Pokemon, Psi"," abra, Inner Focus, Psi","Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping."
Kadabra,£129.00,195 in stock," Pokemon, Psi"," Inner Focus, kadabra, Psi","Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers."
Alakazam,£40.00,142 in stock," Pokemon, Psi"," alakazam, Inner Focus, Psi","Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world."
Machop,£166.00,173 in stock," Pokemon, Superpower"," Guts, machop, Superpower",Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.
Machoke,£27.00,10 in stock," Pokemon, Superpower"," Guts, machoke, Superpower","Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train."
Machamp,£121.00,242 in stock," Pokemon, Superpower"," Guts, machamp, Superpower","Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon."
Bellsprout,£74.00,257 in stock," Flower, Pokemon"," bellsprout, Chlorophyll, Flower","Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron."
Weepinbell,£26.00,46 in stock," Flycatcher, Pokemon"," Chlorophyll, Flycatcher, weepinbell","Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground."
Victreebel,£68.00,119 in stock," Flycatcher, Pokemon"," Chlorophyll, Flycatcher, victreebel","Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole."
Tentacool,£186.00,66 in stock," Jellyfish, Pokemon"," Clear Body, Jellyfish, tentacool",Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.
Tentacruel,£65.00,175 in stock," Jellyfish, Pokemon"," Clear Body, Jellyfish, tentacruel",Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.
Geodude,£32.00,77 in stock," Pokemon, Rock"," geodude, Rock, Rock Head","When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food."
Graveler,£182.00,86 in stock," Pokemon, Rock"," graveler, Rock, Rock Head","Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom."
Golem,£103.00,151 in stock," Megaton, Pokemon"," golem, Megaton, Rock Head","Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course."
Ponyta,£53.00,41 in stock," Fire Horse, Pokemon"," Fire Horse, ponyta, Run Away",Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.
Rapidash,£98.00,194 in stock," Fire Horse, Pokemon"," Fire Horse, rapidash, Run Away","Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph."
Slowpoke,£109.00,57 in stock," Dopey, Pokemon"," Dopey, Oblivious, slowpoke","Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge."
Slowbro,£179.00,289 in stock," Hermit Crab, Pokemon"," Hermit Crab, Oblivious, slowbro","Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead."
Magnemite,£100.00,16 in stock," Magnet, Pokemon"," magnemite, Magnet, Sturdy",Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.
Magneton,£191.00,152 in stock," Magnet, Pokemon"," Magnet, magneton, Sturdy","Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball."
Farfetchd,£185.00,158 in stock," Pokemon, Wild Duck"," farfetchd, Keen Eye, Wild Duck","Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks."
Doduo,£73.00,227 in stock," Pokemon, Twin Bird"," doduo, Run Away, Twin Bird","Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains."
Dodrio,£138.00,118 in stock," Pokemon, Triple Bird"," dodrio, Run Away, Triple Bird","Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest."
Seel,£164.00,250 in stock," Pokemon, Sea Lion"," Sea Lion, seel, Thick Fat","Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head."
Dewgong,£70.00,62 in stock," Pokemon, Sea Lion"," dewgong, Sea Lion, Thick Fat",Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.
Grimer,£147.00,201 in stock," Pokemon, Sludge"," grimer, Sludge, Stench",Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.
Muk,£187.00,220 in stock," Pokemon, Sludge"," muk, Sludge, Stench","This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather."
Shellder,£138.00,23 in stock," Bivalve, Pokemon"," Bivalve, Shell Armor, shellder","At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out."
Cloyster,£199.00,39 in stock," Bivalve, Pokemon"," Bivalve, cloyster, Shell Armor","Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system."
Gastly,£179.00,151 in stock," Gas, Pokemon"," Gas, gastly, Levitate","Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind."
Haunter,£42.00,181 in stock," Gas, Pokemon"," Gas, haunter, Levitate","Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away."
Gengar,£149.00,159 in stock," Pokemon, Shadow"," gengar, Levitate, Shadow","Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow."
Onix,£37.00,286 in stock," Pokemon, Rock Snake"," onix, Rock Head, Rock Snake","Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother."
Drowzee,£40.00,253 in stock," Hypnosis, Pokemon"," drowzee, Hypnosis, Insomnia","If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils."
Hypno,£198.00,222 in stock," Hypnosis, Pokemon"," hypno, Hypnosis, Insomnia","Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum."
Krabby,£64.00,147 in stock," Pokemon, River Crab"," krabby, River Crab, Shell Armor","Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory."
Kingler,£72.00,271 in stock," Pincer, Pokemon"," kingler, Pincer, Shell Armor","Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires."
Voltorb,£189.00,245 in stock," Ball, Pokemon"," Ball, Static, voltorb",Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.
Electrode,£100.00,230 in stock," Ball, Pokemon"," Ball, electrode, Static",One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.
Exeggcute,£126.00,144 in stock," Egg, Pokemon"," Chlorophyll, Egg, exeggcute","This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution."
Exeggutor,£68.00,292 in stock," Coconut, Pokemon"," Chlorophyll, Coconut, exeggutor","Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute."
Cubone,£177.00,242 in stock," Lonely, Pokemon"," cubone, Lonely, Rock Head","Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds."
Marowak,£36.00,295 in stock," Bone Keeper, Pokemon"," Bone Keeper, marowak, Rock Head",Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.
Hitmonlee,£73.00,269 in stock," Kicking, Pokemon"," hitmonlee, Kicking, Limber","Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue."
Hitmonchan,£91.00,163 in stock," Pokemon, Punching"," hitmonchan, Keen Eye, Punching",Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.
Lickitung,£142.00,291 in stock," Licking, Pokemon"," Licking, lickitung, Oblivious","Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things."
Koffing,£38.00,110 in stock," Poison Gas, Pokemon"," koffing, Levitate, Poison Gas","Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon."
Weezing,£48.00,117 in stock," Poison Gas, Pokemon"," Levitate, Poison Gas, weezing","Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid."
Rhyhorn,£124.00,138 in stock," Pokemon, Spikes"," rhyhorn, Rock Head, Spikes","Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something."
Rhydon,£27.00,73 in stock," Drill, Pokemon"," Drill, rhydon, Rock Head","Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat."
Chansey,£176.00,151 in stock," Egg, Pokemon"," chansey, Egg, Natural Cure","Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite."
Tangela,£64.00,91 in stock," Pokemon, Vine"," Chlorophyll, tangela, Vine","Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day."
Kangaskhan,£164.00,35 in stock," Parent, Pokemon"," Early Bird, kangaskhan, Parent","If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area, and it will become violently enraged at you."
Horsea,£154.00,88 in stock," Dragon, Pokemon"," Dragon, horsea, Swift Swim","If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back."
Seadra,£51.00,45 in stock," Dragon, Pokemon"," Dragon, Poison Point, seadra","Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole."
Goldeen,£170.00,117 in stock," Goldfish, Pokemon"," goldeen, Goldfish, Swift Swim","Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape."
Seaking,£129.00,226 in stock," Goldfish, Pokemon"," Goldfish, seaking, Swift Swim",Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month.
Staryu,£166.00,292 in stock," Pokemon, Star Shape"," Natural Cure, Star Shape, staryu","Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokémon simply regenerates the missing pieces and limbs."
Starmie,£176.00,283 in stock," Mysterious, Pokemon"," Mysterious, Natural Cure, starmie",Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon’s body glows in seven colors.
Mr-mime,£144.00,105 in stock," Barrier, Pokemon"," Barrier, mr-mime, Soundproof","Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real."
Scyther,£85.00,139 in stock," Mantis, Pokemon"," Mantis, scyther, Swarm","Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective, they can slice through thick logs in one wicked stroke."
Jynx,£138.00,197 in stock," Human Shape, Pokemon"," Human Shape, jynx, Oblivious","Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing."
Electabuzz,£125.00,63 in stock," Electric, Pokemon"," electabuzz, Electric, Static","When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods."
Magmar,£130.00,16 in stock," Pokemon, Spitfire"," Flame Body, magmar, Spitfire","In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings."
Pinsir,£141.00,29 in stock," Pokemon, Stag Beetle"," Hyper Cutter, pinsir, Stag Beetle","Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape."
Tauros,£63.00,298 in stock," Pokemon, Wild Bull"," Intimidate, tauros, Wild Bull","This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself."
